beer,producer,style,source,test_type,test_result,testing_source,testing_notes,test_date
Bishops Finger,Shepherd Neame,Ale,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep. ABV 3.5%,2009-01-01
Singha Premium,Singha Corp.,Lager,,R5 competitive ELISA,Positive 17ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,17mg/L. ABV 5.0%,2009-01-01
Source Castle Christmas Beer,Source Castle Brewery,Christmas Beer,,R5 competitive ELISA,Positive 23ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,23mg/L. ABV 3.5%,2009-01-01
White Weissbier,Source Castle Brewery,Wheat Beer,,R5 competitive ELISA,Positive 67ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,67mg/L. ABV 3.5%,2009-01-01
Vienna,Source Castle Brewery,Vienna Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep. ABV 3.5%,2009-01-01
Imperial Stout,Source Castle Brewery,Imperial Stout,,R5 competitive ELISA,Positive 50ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,50mg/L. ABV 9.0%,2009-01-01
Gammeldags Moderate,Spendrups Brewery,Dark Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep. ABV 2.0%,2009-01-01
Spendrups Premium,Spendrups Brewery,Lager,,R5 competitive ELISA,Positive 31ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,31mg/L. ABV 2.1%,2009-01-01
Norrland Gold,Spendrups Brewery,Lager,,R5 competitive ELISA,Positive 21ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,21mg/L. ABV 2.8%,2009-01-01
Norrland Gold,Spendrups Brewery,Lager,,R5 competitive ELISA,Positive 35ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,35mg/L. ABV 3.5%,2009-01-01
Spendrups Premium Gold,Spendrups Brewery,Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep. ABV 3.5%,2009-01-01
Spendrup Bright Brew,Spendrups Brewery,Lager,,R5 competitive ELISA,Positive 28ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,28mg/L. ABV 3.5%,2009-01-01
Odin Pilsner,Spendrups Brewery,Pilsner,,R5 competitive ELISA,Positive 46ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,46mg/L. ABV 3.5%,2009-01-01
Spendrups Premium,Spendrups Brewery,Lager,,R5 competitive ELISA,Positive 53ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,53mg/L. ABV 5.0%,2009-01-01
Spendrups Christmas Beer,Spendrups Brewery,Christmas Beer,,R5 competitive ELISA,Positive 24ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,24mg/L. ABV 5.2%,2009-01-01
Mariestads Exports,Spendrups Brewery,Lager,,R5 competitive ELISA,Positive 45ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,45mg/L. ABV 5.3%,2009-01-01
Norrland Gold,Spendrups Brewery,Lager,,R5 competitive ELISA,Positive 38ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,38mg/L. ABV 5.3%,2009-01-01
Norrland July,Spendrups Brewery,Christmas Beer,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep. ABV 5.3%,2009-01-01
Spendrups Premium Gold,Spendrups Brewery,Lager,,R5 competitive ELISA,Positive 35ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,35mg/L. ABV 5.9%,2009-01-01
Julbock,Spendrups Brewery,Strong Lager,,R5 competitive ELISA,Positive 34ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,34mg/L. ABV 7.0%,2009-01-01
Starobrno Premium,Starobrno Brewery,Lager,,R5 competitive ELISA,Positive 21ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,21mg/L. ABV 3.5%,2009-01-01
St. Petersburg G-Free,St Peters Brewery,Gluten-Free Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep. ABV 4.2%. Labeled GF; brewed with sorghum.,2009-01-01
Tuborg Beer Premium Gold,Tuborg,Lager,,R5 competitive ELISA,Positive 28ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,28mg/L. ABV 3.5%,2009-01-01
Zeunerts Christmas Beer,Zeunerts AB,Christmas Beer,,R5 competitive ELISA,Positive 37ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,37mg/L. ABV 5.1%,2009-01-01
